concept_id,category,subtype,canonical_ja,canonical_en,canonical_zh,aliases_ja,aliases_en,aliases_zh,source,source_row,status,notes
effect_divine_queen_bracelet_1_set_01,effect_name,set,フリッグの涙 I,,芬撒里爾的淚痕 I,,,,PATH_TO_EQUIPMENT_EFFECTS_final.csv:effect_name_*,divine-queen-bracelet-1-set-01,needs_review,Missing canonical in one or more languages.
effect_rider_set,effect_name,style,ウィンドセット,Rider Set,疾風套裝,疾風セット,,,PATH_TO_EQUIPMENT_EFFECTS_final.csv:effect_name_*,dawn-armor-style-04|dawn-mantle-style-04|dawn-boots-style-04,needs_review,Merged competing short-form variants under shared EN/ZH meaning.
effect_spike,effect_name,style,スパイク,Spike,闇盲,闇盲,,,PATH_TO_EQUIPMENT_EFFECTS_final.csv:effect_name_*,dawn-hatchet-style-04|dawn-hammer-style-01,needs_review,Merged competing short-form variants under shared EN/ZH meaning.
cond_1_matk_per_1_int,condition_phrase,generic_condition,Int1ポイントごとに,+1 MATK per 1 INT,每1點智力額外,,,,longtext_segments.csv,dawn-staff-style-01,needs_review,Only suspect segments available for this concept.
cond_bash_always_charges_vanguard_force_when_used,condition_phrase,generic_condition,狂撃使用時,[Bash] always charges [Vanguard Force] when used,使用狂擊時必定充能先鋒追擊,,,,longtext_segments.csv,dawn-claymore-style-03,needs_review,Only suspect segments available for this concept.
cond_cart_skills_give_you_5_mspd_stacking_up_to_2_times,condition_phrase,generic_condition,手押し車関連スキル使用時,"Cart skills give you +5% MSPD, stacking up to 2 times.",提升的傷害值為手推車負重*40%,,,,longtext_segments.csv,dawn-axe-style-02,needs_review,Only suspect segments available for this concept.
cond_casting_mammonite_and_high_speed_cart_ram_consumes_only_100_eden_coins_and_adds_1_stack_of_sifs_blessing,condition_phrase,generic_condition,メマーナイト、カートターミネーションの銅貨消費が100になり、どちらかのスキルで攻撃するたびに,"Casting Mammonite and High-Speed Cart Ram consumes only 100 Eden Coins, and adds 1 stack of Sif's Blessing",金錢攻擊、手推車終結技僅消耗100銅幣，且會獲得一層希芙的恩賜,,,,longtext_segments.csv,dawn-hatchet-style-03,needs_review,Only suspect segments available for this concept.
cond_casting_melody_strike_or_arrow_vulcan_additionally_triggers_a_st_wind_volt_attack_with_600_multiplier_200_in_pvp,condition_phrase,generic_condition,楽器攻撃・奥義矢乱舞発動時,Casting [Melody Strike] or [Arrow Vulcan] additionally triggers a ST Wind [Volt Attack] with 600% multiplier (200% in PVP),釋放樂器攻擊、奧義箭亂舞會額外觸發一次單體600%倍率（PVP場景為200%倍率）的風屬性物理感電攻擊，冷卻時間1秒,,,,longtext_segments.csv,dawn-guitar-style-01,needs_review,Only suspect segments available for this concept.
cond_each_stack_of_pact_of_reaper_gives_you_3_crit,condition_phrase,generic_condition,死神の契約1層ごとに自身のクリティカル+3,Each stack of Pact of Reaper gives you +3 CRIT,每層死神契約使自身暴擊+3、攻擊速度+1%,,,,longtext_segments.csv,dawn-spear-style-02,needs_review,Only suspect segments available for this concept.
cond_either_str_or_dex_3_the_higher_one_if_both,condition_phrase,generic_condition,StrとDexのうち高い方+3。同値の場合,Either STR or DEX +3 (the higher one). If both,力量和靈巧中較高的屬性值+3，若兩者相同，則力量、靈巧+2,,,,longtext_segments.csv,burglar-ring-1,needs_review,Only suspect segments available for this concept.
